customer_txn_count_60m,customer_amount_mean_prior,amount_deviation_ratio,is_new_device,is_new_merchant,location_shift,customer_device_degree,customer_merchant_degree,device_customer_degree,merchant_customer_degree,shared_device_customer_count,relationship_risk_score,is_fraud
2,73.55,-1.0,0,0,0,3,3,2,3,0,0.0417,0
1,55.89,0.1978,0,0,0,1,3,2,3,0,0.0255,0
0,17.83,0.1869,0,0,0,1,3,2,4,1,0.1088,0
5,49.19,-1.0,0,1,0,1,5,1,3,0,0.0107,0
2,76.67,0.181,0,0,0,0,3,1,7,0,0.0,0
1,18.19,0.1329,0,0,0,1,4,1,3,0,0.0016,0
0,56.38,-0.7649,0,0,0,0,3,2,4,0,0.0578,0
1,66.82,0.6609,0,1,0,2,2,0,8,0,0.0019,0
4,119.03,4.1253,1,1,0,3,9,6,13,4,0.7487,1
1,9.26,1.2071,0,0,0,3,2,2,4,0,0.0059,0
13,117.9,2.8436,0,0,1,4,7,7,22,7,0.607,1
1,36.3,-0.1201,0,0,1,2,3,3,2,0,0.4715,0
0,83.5,0.483,0,1,0,0,5,0,5,0,0.1456,0
1,30.61,-0.0832,1,0,0,0,3,3,5,0,0.298,0
1,68.0,0.0156,0,1,0,0,3,0,2,0,0.1894,0
8,142.13,0.9237,1,1,1,1,8,7,14,7,0.8627,1
2,54.33,1.015,0,0,0,1,2,1,10,2,0.0004,0
10,62.33,3.0372,0,1,0,3,10,3,21,3,0.8778,1
1,19.74,1.0672,0,0,0,1,4,1,5,0,0.139,0
1,67.9,-0.7151,0,0,0,3,2,1,6,0,0.1397,0
1,161.37,-0.1216,1,1,0,3,2,0,8,0,0.0291,0
2,6.76,1.6939,1,0,0,0,3,3,7,0,0.0001,0
0,87.97,-0.5514,1,0,0,1,3,0,1,1,0.0119,0
0,42.48,-1.0,0,0,1,1,5,0,7,1,0.0002,0
1,13.26,-0.246,0,0,0,1,3,1,0,0,0.0313,0
12,42.39,1.8295,1,0,0,5,9,2,10,3,0.3851,1
1,85.95,-1.0,0,1,0,0,2,0,2,1,0.0457,0
1,50.15,0.8868,1,0,0,0,5,2,9,0,0.0104,0
2,138.07,-0.0231,0,0,1,3,2,2,5,1,0.0025,0
6,110.29,3.3657,1,1,1,4,12,2,11,2,0.9948,1
1,128.61,0.22,1,0,0,2,6,0,4,1,0.0174,0
1,31.65,-0.9465,0,0,0,1,4,2,6,1,0.0309,0
1,24.05,-0.4899,0,0,0,0,0,1,4,0,0.0113,0
0,63.87,0.1586,0,1,1,1,3,1,7,0,0.2152,0
2,19.18,0.099,0,0,0,0,0,0,5,0,0.2542,0
5,30.59,0.7499,0,1,0,0,1,1,3,1,0.156,0
2,27.76,-0.2143,0,0,0,2,3,3,3,0,0.0045,0
5,36.68,0.8943,0,0,0,1,4,1,5,0,0.0252,0
0,20.16,-0.5779,0,0,0,1,2,1,6,0,0.0752,0
7,215.77,1.1605,1,0,1,9,6,8,16,1,0.5937,1
9,141.64,2.882,1,1,0,6,12,3,17,3,0.6141,1
1,17.04,-0.5929,0,0,0,2,1,0,9,1,0.006,0
3,93.4,3.022,0,1,0,5,3,4,21,2,0.993,1
3,51.85,-1.0,0,0,0,0,3,2,4,0,0.0826,0
1,70.99,-0.0106,1,0,0,1,6,1,8,0,0.0092,0
0,63.01,-0.0057,0,0,0,3,5,0,8,1,0.2117,0
3,67.07,-0.0233,1,0,0,2,4,0,4,0,0.188,0
2,27.72,0.458,0,0,0,2,2,1,9,0,0.0005,0
10,154.87,1.4133,0,1,0,6,11,7,16,7,0.674,1
5,10.27,-0.6766,0,0,0,0,3,0,7,0,0.023,0
1,102.9,-0.3295,0,0,0,2,2,2,1,0,0.0364,0
13,63.99,1.5342,0,0,1,4,4,4,12,2,0.8192,1
1,59.51,-1.0,0,0,0,2,3,0,3,0,0.4262,0
3,205.19,2.9532,1,1,0,3,11,3,12,6,0.9876,1
1,58.47,0.1188,0,0,0,1,2,0,5,0,0.0047,0
2,170.62,0.3996,0,0,0,1,4,1,8,0,0.183,0
0,25.74,-0.4665,0,0,0,3,2,0,5,0,0.0609,0
4,3.59,-1.0,0,0,0,1,6,0,3,0,0.2922,0
3,82.18,-0.2503,0,0,0,0,4,1,7,1,0.0835,0
2,41.89,0.9652,0,0,0,1,0,1,6,0,0.0619,0
2,40.26,0.4129,0,0,0,2,6,1,8,0,0.0031,0
1,24.79,-0.4776,0,1,0,1,2,2,4,1,0.1469,0
0,35.89,-0.7951,0,0,0,1,4,0,3,0,0.0194,0
1,30.06,-0.1544,0,1,0,1,2,2,3,0,0.0003,0
2,23.63,-0.6635,0,0,0,1,2,1,7,0,0.0213,0
1,45.95,-0.3372,0,0,0,0,4,0,5,0,0.0039,0
1,48.82,-0.4378,0,0,0,2,4,2,3,0,0.0975,0
1,71.28,0.4306,0,0,0,1,1,1,5,0,0.1608,0
7,175.79,3.1352,0,0,0,6,12,5,12,1,0.6601,1
1,69.13,-0.521,0,0,0,1,3,4,2,0,0.0349,0
0,9.71,-0.1238,1,0,0,0,4,3,7,0,0.0262,0
0,21.29,-0.6707,0,0,0,2,5,2,9,0,0.1156,0
1,103.1,-0.4465,0,0,0,1,3,0,2,1,0.0005,0
3,29.45,1.1312,0,0,0,2,2,1,8,0,0.0395,0
0,67.04,0.1023,1,0,0,4,2,3,1,0,0.2344,0
0,21.08,-0.3665,0,0,0,0,3,0,8,0,0.2536,0
3,37.55,1.5205,0,0,0,3,4,0,6,1,0.0199,0
0,38.05,0.2116,0,1,0,3,5,1,5,0,0.0085,0
2,80.37,-1.0,0,1,0,0,5,1,4,1,0.0722,0
0,69.33,-1.0,0,0,0,1,4,2,7,0,0.2433,0
6,44.59,2.5354,1,0,0,5,15,5,15,4,0.7779,1
1,34.73,-1.0,0,0,0,3,3,0,4,0,0.1554,0
6,61.32,-0.4222,0,0,1,0,3,1,3,0,0.001,0
2,10.57,0.0023,0,1,0,2,3,1,3,1,0.0168,0
1,48.39,0.2834,0,1,0,1,4,0,6,0,0.1649,0
3,31.61,0.8523,1,0,0,1,1,1,3,0,0.0884,0
0,56.06,-1.0,0,0,0,1,3,0,4,0,0.0053,0
0,75.52,0.6974,0,0,0,2,2,0,10,1,0.0803,0
8,141.25,1.5406,1,0,0,3,5,3,26,3,0.6211,1
4,26.34,0.6222,0,0,1,1,4,1,6,0,0.0681,0
2,113.69,0.1423,0,1,0,0,2,0,4,0,0.0002,0
2,37.7,-0.6737,0,0,0,1,2,1,6,0,0.1933,0
6,57.72,2.1729,0,0,0,1,8,3,19,5,0.7922,1
8,157.91,1.2763,1,1,0,1,10,8,19,2,0.6122,1
1,56.45,-1.0,0,1,0,4,3,2,4,1,0.0008,0
0,7.88,0.9691,0,0,0,0,3,0,5,0,0.0628,0
0,49.47,-0.0968,0,0,0,2,2,1,5,0,0.0379,0
2,144.46,0.616,1,1,0,2,2,0,6,0,0.3005,0
2,65.43,-1.0,0,0,0,1,2,0,3,0,0.1555,0
0,67.5,0.8459,0,0,0,1,4,1,5,1,0.225,0
0,32.48,0.227,0,0,0,1,1,0,2,0,0.0852,0
4,105.9,-0.6625,0,0,0,1,1,0,4,0,0.0266,0
0,30.66,0.1581,0,0,0,1,3,2,6,0,0.4314,0
1,13.26,0.7398,0,0,1,0,2,1,4,1,0.103,0
12,125.01,1.9027,1,0,0,3,5,2,21,1,0.7127,1
0,6.96,1.0861,0,1,0,3,4,0,7,0,0.0037,0
4,33.3,0.0253,0,0,0,2,1,2,3,0,0.0275,0
7,44.89,3.4661,0,1,1,5,8,4,29,0,0.7607,1
1,32.95,1.1469,0,1,0,1,2,1,5,0,0.0566,0
1,4.79,0.5119,1,0,0,0,4,1,6,0,0.1049,0
1,36.95,0.148,0,1,0,1,3,2,7,0,0.0147,0
7,49.85,-0.6085,1,0,0,0,3,2,5,0,0.0966,0
3,24.69,-0.3547,1,0,1,1,3,0,4,0,0.3472,0
2,33.84,-0.6302,0,0,0,0,1,0,9,1,0.0053,0
0,58.0,-0.3603,0,0,0,0,0,0,9,1,0.001,0
2,16.17,-1.0,0,1,0,0,3,0,6,0,0.1216,0
1,52.25,0.5205,0,0,0,2,1,0,6,0,0.0121,0
4,15.1,0.418,1,0,0,2,2,1,5,0,0.0044,0
2,6.03,-1.0,0,0,0,4,1,0,9,0,0.0262,0
2,97.77,-1.0,0,0,0,1,3,1,4,0,0.5258,0
2,41.08,-0.666,0,0,0,3,3,2,5,0,0.0,0
3,18.7,0.7327,0,0,0,2,4,3,6,0,0.0632,0
1,42.3,0.5508,0,0,0,3,0,1,4,1,0.0966,0
2,21.2,-0.2655,0,0,0,0,4,1,2,0,0.1857,0
1,80.63,1.0638,0,0,0,1,4,3,3,0,0.2925,0
1,67.74,-0.0629,0,0,0,1,4,2,1,1,0.0015,0
1,81.29,-0.8785,0,0,0,3,3,2,5,0,0.0037,0
3,76.94,-0.9322,0,0,1,1,2,2,6,0,0.0008,0
5,61.43,0.366,0,0,0,1,6,0,4,1,0.0896,0
2,111.61,-0.1509,0,0,1,1,3,1,3,0,0.3205,0
1,10.64,-1.0,0,0,0,2,1,0,4,0,0.0009,0
0,12.7,-1.0,0,0,0,1,3,1,2,0,0.367,0
0,24.23,-0.2593,0,0,0,0,2,1,4,0,0.1243,0
1,95.18,-0.5785,0,0,0,0,4,2,6,0,0.1303,0
3,33.93,-1.0,0,0,0,1,5,0,7,1,0.0185,0
2,34.42,0.2871,0,0,0,2,4,3,5,1,0.2959,0
0,7.46,-0.2007,0,0,0,1,1,0,3,0,0.1668,0
2,11.87,0.7473,0,0,0,1,1,1,1,0,0.1365,0
4,139.84,0.8077,0,1,0,0,5,0,4,0,0.0492,0
0,31.45,-1.0,0,0,0,1,4,3,4,0,0.4527,0
0,15.02,-0.8249,0,0,0,2,2,1,10,1,0.2564,0
0,1.41,-0.0816,0,1,0,2,4,1,4,0,0.1808,0
1,43.13,0.1165,0,1,0,2,2,2,4,0,0.0731,0
1,6.92,-0.8526,0,0,0,1,4,1,5,0,0.0425,0
4,5.43,0.318,0,0,0,2,1,1,7,0,0.0277,0
0,72.44,0.2933,1,0,0,0,1,0,5,0,0.0018,0
0,31.5,0.6633,0,0,0,1,1,4,6,2,0.0011,0
0,14.95,-0.225,0,1,0,0,2,2,5,0,0.0841,0
8,239.72,-0.4469,1,0,1,1,5,4,17,2,0.5124,1
5,84.39,2.7483,0,1,1,4,9,3,11,5,0.9249,1
0,43.03,-1.0,0,1,0,0,4,1,4,0,0.055,0
4,13.06,0.6581,0,0,0,1,0,2,5,0,0.0192,0
5,16.59,-1.0,1,0,0,0,1,0,5,1,0.0851,0
2,53.19,-0.433,0,0,0,0,4,0,2,0,0.3042,0
0,12.35,0.5368,0,1,0,0,4,2,5,0,0.0372,0
6,49.43,2.4027,1,0,1,4,8,3,17,3,0.8487,1
4,15.92,1.0846,0,0,0,4,7,2,4,0,0.0237,0
0,20.84,0.9044,0,1,0,2,4,1,3,0,0.3771,0
3,38.26,0.6615,0,0,1,3,1,0,3,1,0.0003,0
2,11.73,-0.2085,0,0,0,2,3,3,3,0,0.0176,0
1,42.59,-0.6555,0,0,0,1,3,2,4,0,0.0826,0
1,29.03,0.2346,0,0,0,5,3,0,5,2,0.0335,0
5,297.29,2.7893,1,1,0,3,8,6,13,5,0.8119,1
3,39.88,1.4356,0,0,0,0,3,2,6,1,0.018,0
0,90.84,-0.3678,0,0,0,0,5,2,5,1,0.2616,0
1,73.55,1.6483,1,0,0,0,3,2,7,1,0.0189,0
2,27.72,-1.0,0,0,0,1,6,4,6,0,0.0541,0
1,186.3,0.2441,0,0,0,2,1,0,7,1,0.0517,0
10,66.85,2.2021,1,1,0,2,14,9,14,5,0.8075,1
0,6.28,0.3658,0,0,0,0,2,0,4,0,0.001,0
3,20.29,-0.4334,0,0,0,1,4,2,7,0,0.1459,0
1,22.54,0.6561,0,0,0,1,1,1,2,0,0.1238,0
0,24.38,-0.5287,0,0,0,1,4,0,5,0,0.078,0
1,45.37,-0.0709,0,0,0,1,2,0,6,0,0.0007,0
1,22.32,-0.1975,0,0,0,1,4,0,6,2,0.0096,0
1,65.01,0.8947,0,0,0,0,5,0,6,2,0.0031,0
1,27.74,1.1975,0,0,0,2,3,1,4,0,0.0761,0
1,28.9,0.2334,0,0,0,0,2,1,5,1,0.0495,0
1,63.76,0.3101,0,0,0,1,2,0,4,0,0.0002,0
1,91.11,-1.0,0,1,0,0,5,0,7,1,0.2662,0
3,56.0,-0.2189,0,0,0,4,2,0,10,0,0.001,0
3,81.64,-1.0,0,0,0,3,1,0,6,0,0.0114,0
2,33.57,-0.7361,0,0,0,0,4,2,4,1,0.0333,0
2,12.49,-0.8767,0,0,0,2,1,0,6,0,0.0003,0
1,115.53,-0.276,0,0,0,1,4,0,8,0,0.0016,0
2,157.47,0.4135,0,0,0,2,1,0,3,1,0.0009,0
1,32.97,-0.1657,0,0,0,1,1,1,4,0,0.0042,0
3,110.74,0.1324,0,0,0,0,1,5,4,0,0.0109,0
1,33.83,0.0962,0,1,0,0,6,0,4,1,0.0056,0
1,113.23,1.4789,0,0,0,1,2,0,4,0,0.2007,0
0,25.63,0.0419,0,0,0,1,0,0,4,0,0.0004,0
9,252.66,3.3996,1,1,1,4,10,2,20,5,0.8795,1
2,20.39,0.672,0,0,0,2,1,0,3,0,0.0509,0
5,56.02,2.7208,1,0,1,5,9,4,15,3,0.9795,1
10,146.85,2.4175,1,1,0,4,1,5,21,5,0.7591,1
1,7.81,-0.7978,0,0,0,1,3,2,7,0,0.0041,0
1,125.09,-0.8565,0,0,0,4,2,1,8,0,0.3266,0
0,17.08,-0.8375,0,0,0,0,2,1,5,0,0.0203,0
2,163.7,-0.502,0,1,0,2,3,0,7,1,0.0239,0
1,119.73,0.0966,0,0,0,0,2,1,6,2,0.0672,0
1,44.87,-1.0,0,1,0,1,3,1,5,0,0.0281,0
0,53.44,-0.8539,0,1,0,1,2,0,4,1,0.3318,0
8,36.98,2.8652,1,1,0,5,7,2,16,6,0.7647,1
2,39.54,-0.6764,0,0,0,0,1,0,3,0,0.5571,0
2,2.35,-0.3472,0,0,0,1,3,1,5,1,0.13,0
7,82.11,2.4382,0,0,1,4,10,10,15,4,0.8607,1
0,80.89,0.3985,0,0,0,3,5,3,3,0,0.0825,0
1,12.65,-0.669,0,0,0,2,0,3,9,0,0.0138,0
1,20.96,-0.1496,0,1,0,1,0,2,4,0,0.0392,0
10,131.66,1.1613,1,1,1,3,7,4,12,1,0.5773,1
0,60.46,0.3583,0,0,0,3,1,1,4,0,0.0427,0
11,176.87,1.4763,1,1,0,2,9,8,16,2,0.7406,1
8,110.74,3.6852,1,1,0,5,9,3,18,4,0.9862,1
6,39.83,3.575,0,0,0,5,2,1,17,6,0.6294,1
3,82.04,-1.0,0,0,0,1,6,0,11,0,0.0343,0
2,57.17,-0.4807,0,0,0,0,2,0,6,1,0.0113,0
0,124.76,0.5297,0,1,0,1,3,0,6,0,0.0339,0
0,34.05,0.7093,0,0,0,2,5,1,4,0,0.2271,0
0,15.56,1.0227,0,0,0,1,3,2,3,0,0.0,0
1,151.9,1.1245,0,0,0,3,2,1,6,0,0.1673,0
2,36.79,0.1632,0,0,0,2,1,1,4,1,0.0027,0
10,109.23,0.8276,0,0,1,1,12,7,17,1,0.7832,1
2,64.31,1.234,0,0,0,3,3,0,6,0,0.4917,0
3,45.37,-0.6167,1,0,0,1,2,0,9,2,0.0001,0
2,63.57,0.0526,0,1,0,2,4,1,6,1,0.0006,0
2,57.39,-0.3642,0,0,0,0,2,5,3,0,0.035,0
2,62.01,0.0161,0,0,0,3,2,2,4,0,0.0793,0
9,271.35,2.3486,1,0,1,2,7,6,13,4,0.7975,1
1,23.93,-0.9049,0,1,0,1,5,0,4,0,0.0053,0
1,74.43,-1.0,0,0,0,3,4,1,5,0,0.0156,0
2,28.35,0.3531,1,1,0,0,3,2,4,0,0.0268,0
7,120.02,2.695,1,0,0,1,11,2,17,0,0.8432,1
0,58.31,1.2326,0,0,0,0,4,2,7,0,0.0203,0
1,19.33,-0.107,0,1,0,4,3,1,4,0,0.0279,0
2,102.87,-0.0224,0,0,0,1,5,3,6,1,0.0066,0
2,27.28,-0.3666,0,1,0,1,3,1,7,0,0.0192,0
0,42.01,-0.9594,0,0,0,2,2,2,7,2,0.1689,0
0,26.82,0.1504,0,0,0,1,0,1,3,0,0.0001,0
2,61.29,0.9573,0,0,0,3,3,0,6,0,0.0116,0
1,59.41,-0.3413,0,0,0,1,2,3,4,0,0.0008,0
1,46.73,0.4558,0,0,0,1,3,2,9,1,0.0954,0
2,42.07,-0.3762,0,0,0,2,5,3,7,0,0.2787,0
1,88.24,-0.025,1,0,0,0,3,1,6,0,0.0012,0
0,69.89,-0.686,0,0,0,4,3,2,3,0,0.06,0
6,15.12,0.0049,0,0,0,1,5,0,2,0,0.0009,0
6,238.63,2.8776,1,1,1,5,8,3,10,1,0.4987,1
2,37.01,-0.6238,0,0,0,2,2,1,7,0,0.0629,0
1,23.3,0.0438,0,0,1,1,3,3,2,0,0.0091,0
2,17.54,0.1816,0,0,0,3,4,1,4,0,0.0269,0
0,40.33,0.4009,0,0,0,3,4,0,3,0,0.1903,0
0,78.96,1.6433,0,1,0,1,1,2,4,0,0.0804,0
2,32.91,-0.4332,0,0,0,2,5,1,9,0,0.046,0
1,73.49,0.5576,0,0,0,2,5,1,7,0,0.0091,0
0,12.58,0.4076,0,0,0,4,4,2,9,0,0.0305,0
0,81.85,0.1099,0,0,0,0,0,1,4,0,0.057,0
2,69.09,-0.5644,0,0,0,1,4,1,7,0,0.2528,0
0,7.19,0.0185,0,0,0,1,2,0,5,0,0.0646,0
0,63.7,-0.4062,0,0,0,1,1,0,6,0,0.0791,0
1,39.73,-1.0,0,0,0,1,7,0,2,1,0.0617,0
3,52.81,2.0025,0,0,0,1,3,0,8,0,0.0463,0
11,113.36,2.6027,0,1,0,6,8,2,10,4,0.803,1
2,53.05,-1.0,0,0,0,1,4,1,2,1,0.0062,0
6,193.61,1.6553,0,1,1,3,6,3,13,4,0.8404,1
2,69.14,0.8717,0,0,0,0,3,1,3,0,0.2332,0
0,8.19,0.2048,0,0,0,1,2,0,5,0,0.0512,0
1,94.09,0.1739,0,0,0,0,2,4,7,0,0.0004,0
1,40.51,0.842,1,1,0,0,5,2,5,0,0.0864,0
10,50.17,1.1681,0,0,0,2,5,6,18,3,0.7748,1
9,94.19,1.9281,1,0,0,3,5,6,14,3,0.6566,1
2,19.54,0.8495,1,0,0,1,4,1,5,0,0.1002,0
2,107.22,0.417,0,0,0,2,1,1,2,0,0.046,0
0,27.38,-0.0514,0,0,0,1,1,1,4,0,0.0044,0
5,50.63,0.2598,0,0,0,0,4,0,3,0,0.3006,0
0,63.12,0.3146,0,0,0,1,2,1,3,0,0.0395,0
2,33.92,-0.7926,0,1,0,0,6,0,7,0,0.1455,0
4,36.19,0.1617,0,0,0,2,4,0,7,1,0.0018,0
3,38.19,-0.9997,0,0,0,2,5,0,3,0,0.0216,0
3,4.57,0.3135,0,0,0,2,1,1,5,2,0.034,0
2,64.35,0.7102,0,0,0,2,3,3,4,0,0.0011,0
8,225.04,2.5732,0,1,1,5,6,4,16,0,0.7172,1
0,53.54,0.7333,0,0,0,1,5,1,4,0,0.0053,0
1,34.11,0.2016,0,0,0,1,3,0,4,0,0.0594,0
0,170.44,1.0362,0,0,0,1,6,0,4,0,0.0973,0
0,56.27,0.9292,0,1,0,2,3,0,1,1,0.0136,0
4,76.18,-0.8777,0,0,0,0,2,1,5,0,0.1157,0
9,65.92,1.6997,1,0,1,4,10,3,15,4,0.7462,1
8,73.53,0.0225,1,1,0,2,10,2,11,0,0.5116,1
1,65.59,-1.0,0,0,0,0,2,1,3,0,0.0347,0
4,45.33,1.4543,1,1,1,4,7,6,14,2,0.8331,1
